start	end	text
0	2520	I don't know what those letters meant in blue.
21660	22980	I'm obsessed.
30000	32000	I don't know what those letters meant in blue.
60000	62000	I don't know what those letters meant in blue.
90000	92000	I don't know what those letters meant in blue.
120000	122000	I don't know what those letters meant in blue.
180000	182000	I don't know what those letters meant in blue.
210000	212000	I don't know what those letters meant in blue.
240000	242000	I don't know what those letters meant in blue.
270000	272000	I don't know what those letters meant in blue.
300000	302000	I don't know what those letters meant in blue.
330000	332000	I don't know what those letters meant in blue.
360000	362000	I am obsessed.
362000	364000	I am obsessed.
364000	366000	I am obsessed.
366000	368000	I am obsessed
368000	370000	I am obsessed
370000	372000	I am obsessed
372000	374000	I am obsessed
374000	376000	I am obsessed
376000	378000	I am obsessed
378000	380000	I am obsessed
380000	382000	I am obsessed
382000	384000	I am obsessed
384000	386000	I am obsessed
386000	388000	I am obsessed
388000	390000	I am obsessed
390000	392000	I am obsessed
392000	394000	I am obsessed
394000	396000	I am obsessed
396000	398000	I am obsessed
398000	400000	I am obsessed
400000	402000	I am obsessed
402000	404000	I am obsessed
404000	406000	I am obsessed
406000	408000	I am obsessed
408000	410000	I am obsessed
410000	412000	I am obsessed
412000	414000	I am obsessed
414000	416000	I am obsessed
416000	418000	I am obsessed
418000	420000	I am obsessed
420000	422000	I am obsessed
422000	424000	I am obsessed
424000	426000	I am obsessed
426000	428000	I am obsessed
428000	430000	I am obsessed
430000	432000	I am obsessed
432000	434000	I am obsessed
434000	436000	I am obsessed
436000	438000	I am obsessed
438000	440000	I am obsessed
440000	442000	I am obsessed
442000	444000	I am obsessed
445000	447000	Yeah, I think we will
447000	449000	I think we'll at least explain
449000	451000	My goal is to explain like
451000	453000	mental model, way to think about it
453000	455000	and maybe build a little something
455000	457000	along the way. No promises it'll look good
457000	459000	but it should be at least functional
459000	461000	But yeah
461000	463000	So I also
463000	465000	like before we started just wanted to like
465000	467000	sort of catch up and see how you've been
467000	469000	doing with all this like
469000	471000	working with React for the past
471000	473000	few years. It feels like React Server Components
473000	475000	has been going
475000	477000	for a long time or I've heard about it
477000	479000	for a long time and it's taken many forms
479000	481000	and I'm kind of curious like what did
481000	483000	it take to get to this point
483000	485000	like what was the process
485000	487000	there and the collaboration
487000	489000	Yeah
491000	493000	So I think we first
493000	495000	started like specifically
495000	497000	Sebastian
497000	499000	is like the person who tends
499000	501000	to
501000	503000	kind of look at our vision
503000	505000	going forward like he started thinking
505000	507000	about this maybe in 2016
507000	509000	so
509000	511000	there he had a
511000	513000	internal document
513000	515000	called perhaps provocatively
515000	517000	what comes
517000	519000	after GraphQL
519000	521000	and the idea
521000	523000	was
523000	525000	basically the architecture
525000	527000	like the architecture we had
527000	529000	at Meta for
529000	531000	like
531000	533000	for web apps
533000	535000	was using GraphQL
